metric,n,median,minimum,maximum
sections.mode-auth.across_applications.shadow.authority_provision_ms,21,5.967499979306012,5.008624983020127,8.53308301884681
sections.mode-auth.across_applications.shadow.device_sign_ms,21,30.344958999194205,8.884917013347149,4266.96446101414
sections.mode-auth.across_applications.shadow.private_bytes,21,9500,1735,551785
sections.mode-auth.across_applications.shadow.public_bytes,21,3184,3166,3191
sections.mode-auth.across_applications.shadow.public_preflight_ms,21,0.356,0.318,2.259
sections.mode-auth.across_applications.shadow.registry_bytes,21,2075,2057,2082
sections.mode-auth.across_applications.shadow.report_bytes,21,1109,1109,1109
sections.zekra-matched512.metrics.proof_bits_accounting,5,1019,1019,1019
sections.zekra-matched512.metrics.prove_s,5,3.8864,3.8498,3.9313
sections.zekra-matched512.metrics.setup_s,5,7.8656,7.7936,7.8706
sections.zekra-matched512.metrics.verify_s,5,0.0047,0.0046,0.005
sections.zekra-matched512.metrics.wall_seconds,5,34.06505045900121,33.79695304099005,34.16236187500181
