attempted,backend,family,kind,metrics,mode,outcome,repetition,returncode,source_ep_rows,verified
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.104075833, ""process_wall_s"": 0.37371304200496525, ""proof_bytes"": 512144, ""prove_total_s"": 0.104557584, ""setup_s"": 0.177770583, ""verify_s"": 0.0781325, ""witness_localcheck_s"": 0.000481709}",shadow,verified,2,0,64,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.104142083, ""process_wall_s"": 0.3745241250144318, ""proof_bytes"": 512144, ""prove_total_s"": 0.104636417, ""setup_s"": 0.177649625, ""verify_s"": 0.078960625, ""witness_localcheck_s"": 0.00049425}",complete,verified,2,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.301753375, ""process_wall_s"": 1.5519982079858892, ""proof_bytes"": 580416, ""prove_total_s"": 0.314408, ""setup_s"": 0.939515208, ""verify_s"": 0.230401, ""witness_localcheck_s"": 0.0126545}",complete,verified,2,0,4096,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.104362541, ""process_wall_s"": 0.35488041600910947, ""proof_bytes"": 504592, ""prove_total_s"": 0.104651625, ""setup_s"": 0.16372, ""verify_s"": 0.073663959, ""witness_localcheck_s"": 0.000289042}",shadow,verified,2,0,4096,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.106287542, ""process_wall_s"": 0.3619032920105383, ""proof_bytes"": 504592, ""prove_total_s"": 0.10656225, ""setup_s"": 0.167678125, ""verify_s"": 0.075104666, ""witness_localcheck_s"": 0.000274666}",shadow,verified,2,0,2048,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.204874042, ""process_wall_s"": 0.965415499988012, ""proof_bytes"": 542320, ""prove_total_s"": 0.211494417, ""setup_s"": 0.5523545, ""verify_s"": 0.163670375, ""witness_localcheck_s"": 0.006620375}",complete,verified,2,0,2048,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.149453416, ""process_wall_s"": 0.6557453330024146, ""proof_bytes"": 534800, ""prove_total_s"": 0.152821875, ""setup_s"": 0.352292459, ""verify_s"": 0.12423741600000002, ""witness_localcheck_s"": 0.003368292}",complete,verified,2,0,1024,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.105954, ""process_wall_s"": 0.3710725419805385, ""proof_bytes"": 504592, ""prove_total_s"": 0.106222208, ""setup_s"": 0.169044584, ""verify_s"": 0.083647625, ""witness_localcheck_s"": 0.000268167}",shadow,verified,2,0,1024,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.102884458, ""process_wall_s"": 0.3546932080062106, ""proof_bytes"": 504592, ""prove_total_s"": 0.103154792, ""setup_s"": 0.164581333, ""verify_s"": 0.074666042, ""witness_localcheck_s"": 0.000270209}",shadow,verified,2,0,512,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.128178417, ""process_wall_s"": 0.5159754590131342, ""proof_bytes"": 527248, ""prove_total_s"": 0.129905916, ""setup_s"": 0.262546375, ""verify_s"": 0.104960292, ""witness_localcheck_s"": 0.001727458}",complete,verified,2,0,512,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.121976625, ""process_wall_s"": 0.45022612501634285, ""proof_bytes"": 519696, ""prove_total_s"": 0.123022708, ""setup_s"": 0.2197445, ""verify_s"": 0.091818833, ""witness_localcheck_s"": 0.001045917}",complete,verified,2,0,256,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.103687833, ""process_wall_s"": 0.3600731670157984, ""proof_bytes"": 504592, ""prove_total_s"": 0.103961416, ""setup_s"": 0.169929125, ""verify_s"": 0.073936209, ""witness_localcheck_s"": 0.000273541}",shadow,verified,2,0,256,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.106001, ""process_wall_s"": 0.36683408298995346, ""proof_bytes"": 504592, ""prove_total_s"": 0.106269417, ""setup_s"": 0.167987167, ""verify_s"": 0.080444834, ""witness_localcheck_s"": 0.000268375}",shadow,verified,2,0,128,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.108071875, ""process_wall_s"": 0.40065374999539927, ""proof_bytes"": 519632, ""prove_total_s"": 0.10866725, ""setup_s"": 0.189315, ""verify_s"": 0.0883215, ""witness_localcheck_s"": 0.000595292}",complete,verified,2,0,128,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.112452959, ""process_wall_s"": 0.39934608299518004, ""proof_bytes"": 512112, ""prove_total_s"": 0.112881833, ""setup_s"": 0.186408875, ""verify_s"": 0.08665625, ""witness_localcheck_s"": 0.00042883300000000005}",complete,verified,2,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.1074015, ""process_wall_s"": 0.36573708400828764, ""proof_bytes"": 504592, ""prove_total_s"": 0.107673167, ""setup_s"": 0.17054775, ""verify_s"": 0.075159375, ""witness_localcheck_s"": 0.000271625}",shadow,verified,2,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.107919292, ""process_wall_s"": 0.3837960830423981, ""proof_bytes"": 512112, ""prove_total_s"": 0.10833, ""setup_s"": 0.180376084, ""verify_s"": 0.082110458, ""witness_localcheck_s"": 0.000410625}",complete,verified,3,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.106460291, ""process_wall_s"": 0.3630032500368543, ""proof_bytes"": 504592, ""prove_total_s"": 0.10673725, ""setup_s"": 0.168951333, ""verify_s"": 0.074927041, ""witness_localcheck_s"": 0.000276833}",shadow,verified,3,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.106628167, ""process_wall_s"": 0.3623744999640621, ""proof_bytes"": 504592, ""prove_total_s"": 0.106900625, ""setup_s"": 0.168944792, ""verify_s"": 0.074104708, ""witness_localcheck_s"": 0.000272417}",shadow,verified,3,0,128,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.108981708, ""process_wall_s"": 0.40030491701327264, ""proof_bytes"": 519632, ""prove_total_s"": 0.109594083, ""setup_s"": 0.188834458, ""verify_s"": 0.087847916, ""witness_localcheck_s"": 0.000612333}",complete,verified,3,0,128,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.11247675, ""process_wall_s"": 0.43912066699704155, ""proof_bytes"": 519696, ""prove_total_s"": 0.113479583, ""setup_s"": 0.2154655, ""verify_s"": 0.09444925, ""witness_localcheck_s"": 0.00100275}",complete,verified,3,0,256,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.109604542, ""process_wall_s"": 0.3689864999614656, ""proof_bytes"": 504592, ""prove_total_s"": 0.1098715, ""setup_s"": 0.171824291, ""verify_s"": 0.075037917, ""witness_localcheck_s"": 0.000266917}",shadow,verified,3,0,256,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.106903458, ""process_wall_s"": 0.3596491659991443, ""proof_bytes"": 504592, ""prove_total_s"": 0.107183875, ""setup_s"": 0.16639325, ""verify_s"": 0.074142125, ""witness_localcheck_s"": 0.000280333}",shadow,verified,3,0,512,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.121680583, ""process_wall_s"": 0.5124603339936584, ""proof_bytes"": 527248, ""prove_total_s"": 0.123426292, ""setup_s"": 0.264719458, ""verify_s"": 0.105836458, ""witness_localcheck_s"": 0.001745625}",complete,verified,3,0,512,True
